"Username","Brugernavn"
"Licensekey","Licensnøgle"
"Merge labels from multiple orders","Sammensæt PDF-labels fra flere ordre"
"Separate PDF files","Seperate PDF-filer"
"Merged PDF file","Sammensat PDF-fil"
"Generate PDF file containing all labels or create a single PDF file for each order","Generer PDF indeholdende alle fragtlabels eller generer én PDF-fil for hver ordre"
"Dropdown format","Dropdown-format"
"How the pickup points are listed during checkout","Hvordan listen af afhentningssteder vises i checkout"
"Set order status after label print","Ændre ordre-status efter label-generering"
"Company","Firma"
"City","By"
"Street","Adresse"
"Zipcode","Postnummer"
"Don't change order status","Ændre ikke ordre-status"
"Send shipment email","Send forsendelses-email"
"Send system shipment email to the customer after generating label","Afsend forsendelses-email fra systemet efter genering af label"
"Enabled","Aktiveret"
"Carrier title","Titel på fragtfirma"
"Table rate","Forsendelsestabel"
"Handle multiple rates for same shipping method","Håndtering af fragtlinie-doubletter"
"Shipping method","Fragtmetode"
"Min. price","Min. pris"
"Max. price","Maks pris"
"Min. weight","Min. vægt"
"Max. weight","Maks vægt"
"Shipping fee","Fragtpris"
"Countries","Lande"
"Title","Titel"
"Add rate","Tilføj rate"
"Countries can be entered as a comma-separated list in ISO 3166-1 alpha-2 format. Use * for all valid countries.","Lande kan indtastes som en komma-separeret liste i ISO-3166-1 alpha-2 format. Brug * for alle gyldige lande."
"Cheapest","Billigste"
"Most expensive","Dyreste"
"If multiple rates are valid for the same method, use either the cheapest or the most expensive rate","Hvis flere fragtlinier er gyldig for samme fragtmetode, benyt da enten den billigste eller dyreste fragtpris"
"Exclude from VAT","Momsfritag"
"Excluded private shipping methods to Denmark from VAT","Momsfritag forsendelsesmetoder til privatpersoner i Danmark"
"Services","Tillægsydelser"
"Email notification", "Email-notifikation"
"SMS notification","SMS-notifikation"
"Pre-notification","Pre-notifikation"
"Label format","Labelformat"
"Pacsoft link","Pacsoft-link"
"PDF file","PDF-fil"
"Pacsoft QuickID","Pacsoft QuickID"
"Waybill ID","Waybill-ID"
"Either just an id or a semicolon separated list of 'country,id' (* is all countries). Eg: SE,123;NO,321;*,44", "Indtast enten et ID eller en semikolon-separeret liste af typen 'land,id' (* angiver alle lande). Fx. SE,123;NO,321;*,44"
"Flex delivery","Flexlevering"
"Enable flex delivery for the selected shipping methods","Aktiver flexlevering for de valgte fragtmetoder"
"Return","Returfragt"
"Return methode","Retur-fragtfirma"
"Determines what carrier handles return packages","Angivet hvilket fragtfirma der håndterer retur-pakker"
"Same carrier","Samme fragtfirma"
"Delete","Slet"
"Yes","Ja"
"No","Nej"
"Include order comment on label","Påsæt ordrekommentar på pakkelabel"
"<div class=""smartsend""><p style=""background: #FFFFFF;border: 1px solid orange;font-weight: bold; padding: 20px;width:55%"">If you don't have a Smart Send subscription please create one at our website: <a href=""http://www.smartsend.dk"" target=""_blank"">Smart Send</a></p></div>","<div class=""smartsend""><p style=""background: #FFFFFF;border: 1px solid orange;font-weight: bold; padding: 20px;width:55%"">Hvis du ikke har et abonnement hos Smart Send, opret da et på vores hjemmeside: <a href=""http://www.smartsend.dk"" target=""_blank"">Smart Send</a></p></div>"
"<div class=""smartsend""><p style=""background: #FFFFFF;border: 1px solid orange;font-weight: bold; padding: 20px;width:55%"">This shipping method may only be used if a valid Smart Send licence is purchased. Please see <a href=""http://www.smartsend.dk"" target=""_blank"">Smart Send</a> for further information.</p></div>","<div class=""smartsend""><p style=""background: #FFFFFF;border: 1px solid orange;font-weight: bold; padding: 20px;width:55%"">Denne forsendelsesmetode må kun benyttes med en gyldig Smart Send licens. Se venligst <a href=""http://www.smartsend.dk"" target=""_blank"">Smart Send</a> for nærmere information.</p></div>"
"Input the order price","Indtast ordrens samlede pris"
"Input the shipping fee","Indtast fragtprisen"
"including tax","inklusiv moms"
